measure,condition,auc
bg_FCMA,retper,0.8203125
bg_FCMA,retper,0.80859375
bg_FCMA,retper,0.88671875
bg_FCMA,retper,0.7421875
bg_FCMA,retper,0.80078125
bg_FCMA,retper,0.94921875
bg_FCMA,retper,0.80078125
bg_FCMA,retper,0.875
bg_FCMA,retper,0.8828125
bg_FCMA,retper,0.91796875
bg_FCMA,retper,0.9609375
bg_FCMA,retper,0.7734375
bg_FCMA,retper,0.8515625
bg_FCMA,retper,0.9140625
bg_FCMA,retper,0.8515625
bg_FCMA,retper,0.859375
bg_FCMA,retper,0.87109375
bg_FCMA,retper,0.88671875
bg_FCMA,retper,0.87109375
bg_FCMA,retper,0.87890625
bg_FCMA,retper,1.0
bg_FCMA,retper,0.78515625
bg_FCMA,retper,0.921875
bg_FCMA,retper,0.921875
bg_FCMA,scrret,0.72265625
bg_FCMA,scrret,0.6875
bg_FCMA,scrret,0.90234375
bg_FCMA,scrret,0.86328125
bg_FCMA,scrret,0.609375
bg_FCMA,scrret,0.91796875
bg_FCMA,scrret,0.8125
bg_FCMA,scrret,0.84765625
bg_FCMA,scrret,0.89453125
bg_FCMA,scrret,0.7578125
bg_FCMA,scrret,0.8515625
bg_FCMA,scrret,0.9296875
bg_FCMA,scrret,0.84765625
bg_FCMA,scrret,0.859375
bg_FCMA,scrret,0.81640625
bg_FCMA,scrret,0.75
bg_FCMA,scrret,0.828125
bg_FCMA,scrret,0.828125
bg_FCMA,scrret,0.921875
bg_FCMA,scrret,0.890625
bg_FCMA,scrret,0.89453125
bg_FCMA,scrret,0.796875
bg_FCMA,scrret,0.93359375
bg_FCMA,scrret,0.73828125
bg_FCMA,scrper,0.52734375
bg_FCMA,scrper,0.75
bg_FCMA,scrper,0.890625
bg_FCMA,scrper,0.78125
bg_FCMA,scrper,0.640625
bg_FCMA,scrper,0.8125
bg_FCMA,scrper,0.82421875
bg_FCMA,scrper,0.6953125
bg_FCMA,scrper,0.8203125
bg_FCMA,scrper,0.55078125
bg_FCMA,scrper,0.8203125
bg_FCMA,scrper,0.828125
bg_FCMA,scrper,0.46484375
bg_FCMA,scrper,0.7578125
bg_FCMA,scrper,0.671875
bg_FCMA,scrper,0.68359375
bg_FCMA,scrper,0.6796875
bg_FCMA,scrper,0.8046875
bg_FCMA,scrper,0.65234375
bg_FCMA,scrper,0.59375
bg_FCMA,scrper,0.7890625
bg_FCMA,scrper,0.65234375
bg_FCMA,scrper,0.890625
bg_FCMA,scrper,0.91015625
evoked_MVPA,retper,0.921875
evoked_MVPA,retper,0.84765625
evoked_MVPA,retper,1.0
evoked_MVPA,retper,0.91015625
evoked_MVPA,retper,0.89453125
evoked_MVPA,retper,0.84375
evoked_MVPA,retper,0.44140625
evoked_MVPA,retper,0.94921875
evoked_MVPA,retper,0.9921875
evoked_MVPA,retper,0.83984375
evoked_MVPA,retper,0.8984375
evoked_MVPA,retper,0.93359375
evoked_MVPA,retper,1.0
evoked_MVPA,retper,0.9921875
evoked_MVPA,retper,1.0
evoked_MVPA,retper,0.74609375
evoked_MVPA,retper,0.94921875
evoked_MVPA,retper,0.94140625
evoked_MVPA,retper,0.96484375
evoked_MVPA,retper,0.89453125
evoked_MVPA,retper,0.9921875
evoked_MVPA,retper,0.9375
evoked_MVPA,retper,1.0
evoked_MVPA,retper,0.94921875
evoked_MVPA,scrret,1.0
evoked_MVPA,scrret,0.94921875
evoked_MVPA,scrret,0.9921875
evoked_MVPA,scrret,0.9765625
evoked_MVPA,scrret,0.95703125
evoked_MVPA,scrret,0.953125
evoked_MVPA,scrret,0.8671875
evoked_MVPA,scrret,0.97265625
evoked_MVPA,scrret,1.0
evoked_MVPA,scrret,0.984375
evoked_MVPA,scrret,0.99609375
evoked_MVPA,scrret,1.0
evoked_MVPA,scrret,0.98046875
evoked_MVPA,scrret,0.99609375
evoked_MVPA,scrret,1.0
evoked_MVPA,scrret,0.99609375
evoked_MVPA,scrret,0.94140625
evoked_MVPA,scrret,1.0
evoked_MVPA,scrret,1.0
evoked_MVPA,scrret,0.9453125
evoked_MVPA,scrret,1.0
evoked_MVPA,scrret,0.8125
evoked_MVPA,scrret,1.0
evoked_MVPA,scrret,0.9765625
evoked_MVPA,scrper,0.9453125
evoked_MVPA,scrper,0.74609375
evoked_MVPA,scrper,1.0
evoked_MVPA,scrper,0.8984375
evoked_MVPA,scrper,0.86328125
evoked_MVPA,scrper,0.80859375
evoked_MVPA,scrper,0.91796875
evoked_MVPA,scrper,0.97265625
evoked_MVPA,scrper,0.8125
evoked_MVPA,scrper,0.92578125
evoked_MVPA,scrper,0.95703125
evoked_MVPA,scrper,1.0
evoked_MVPA,scrper,0.9140625
evoked_MVPA,scrper,0.8203125
evoked_MVPA,scrper,0.86328125
evoked_MVPA,scrper,0.6875
evoked_MVPA,scrper,0.8203125
evoked_MVPA,scrper,0.93359375
evoked_MVPA,scrper,0.9375
evoked_MVPA,scrper,0.8203125
evoked_MVPA,scrper,0.98828125
evoked_MVPA,scrper,0.96484375
evoked_MVPA,scrper,0.94921875
evoked_MVPA,scrper,0.9921875
hybrid,retper,0.93359375
hybrid,retper,0.91015625
hybrid,retper,0.94140625
hybrid,retper,1.0
hybrid,retper,0.91796875
hybrid,retper,0.953125
hybrid,retper,0.546875
hybrid,retper,0.96484375
hybrid,retper,0.94140625
hybrid,retper,0.99609375
hybrid,retper,0.921875
hybrid,retper,0.94921875
hybrid,retper,0.984375
hybrid,retper,0.99609375
hybrid,retper,0.99609375
hybrid,retper,0.8046875
hybrid,retper,0.94921875
hybrid,retper,0.9921875
hybrid,retper,0.96875
hybrid,retper,0.94921875
hybrid,retper,0.984375
hybrid,retper,0.9921875
hybrid,retper,0.98828125
hybrid,retper,1.0
hybrid,scrret,0.96875
hybrid,scrret,1.0
hybrid,scrret,0.84375
hybrid,scrret,0.96875
hybrid,scrret,0.890625
hybrid,scrret,0.84765625
hybrid,scrret,0.96484375
hybrid,scrret,0.96875
hybrid,scrret,0.87890625
hybrid,scrret,0.9375
hybrid,scrret,1.0
hybrid,scrret,0.984375
hybrid,scrret,0.8671875
hybrid,scrret,0.98046875
hybrid,scrret,0.94140625
hybrid,scrret,0.76953125
hybrid,scrret,0.875
hybrid,scrret,0.9453125
hybrid,scrret,0.984375
hybrid,scrret,0.98828125
hybrid,scrret,0.89453125
hybrid,scrret,0.9921875
hybrid,scrret,1.0
hybrid,scrret,1.0
hybrid,scrper,0.96875
hybrid,scrper,0.9609375
hybrid,scrper,1.0
hybrid,scrper,0.984375
hybrid,scrper,0.921875
hybrid,scrper,0.98828125
hybrid,scrper,1.0
hybrid,scrper,0.9375
hybrid,scrper,0.97265625
hybrid,scrper,1.0
hybrid,scrper,0.9921875
hybrid,scrper,1.0
hybrid,scrper,0.9921875
hybrid,scrper,0.98828125
hybrid,scrper,1.0
hybrid,scrper,0.94140625
hybrid,scrper,1.0
hybrid,scrper,1.0
hybrid,scrper,1.0
hybrid,scrper,0.9609375
hybrid,scrper,1.0
hybrid,scrper,0.83203125
hybrid,scrper,0.9765625
hybrid,scrper,1.0
